CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,DATE_OF_BIRTH,GENDER,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,COUNTRY,CUSTOMER_SEGMENT,REGISTRATION_DATE,IS_ACTIVE,LOYALTY_TIER
CUS-796B65EB124,Cathy,Smith,melissa35@example.org,(836)361-8507,2002-09-13,Female,82697 Kathy Valley Apt. 360,,North Travisberg,MO,13578,US,Enterprise,2024-02-22 13:09:28.333521,True,Bronze
CUS-6105EB70633,Megan,Colon,patriciagrant@example.net,+1-621-476-4846x7357,1954-09-05,Non-Binary,222 Cynthia Throughway,,Jonberg,MI,73929,US,Small Business,2023-04-21 22:18:53.403459,True,Gold
CUS-2C0C9289A01,Michele,Knight,gregorymullen@example.com,5629953506,1999-12-30,Prefer Not to Say,18046 Hill Views,Apt. 075,Port Angelica,ME,16495,US,Corporate,2026-06-26 01:33:38.161020,True,Gold
CUS-AB48C70AC74,Mario,Smith,robinsonpaul@example.com,+1-208-746-3975x61547,1965-08-05,Female,15164 Chris Trafficway,,Markview,AK,75156,US,Corporate,2024-10-18 15:05:29.153785,True,Bronze
CUS-3D421CBBF0C,Christopher,Le,brittanyhayes@example.com,(320)970-2042x620,1951-08-03,Female,41393 Bullock River,,Fordshire,SD,59995,US,Enterprise,2026-03-13 22:44:45.262911,True,Platinum
CUS-6377DF756C0,Ashley,Mills,charlessimmons@example.com,719.922.7607,1986-05-28,Female,3394 Darius Course Suite 543,Apt. 895,East David,AZ,21281,US,Enterprise,2023-07-25 09:46:07.346882,True,Gold
CUS-B619FCD55C7,Chad,Wilkinson,tom64@example.com,001-974-870-0026,1964-10-27,Non-Binary,6497 Mclean Corners Suite 365,Suite 045,North Richardstad,MD,92124,US,Consumer,2022-02-20 08:22:36.825915,True,Silver
CUS-FB517D805D2,James,Chapman,kproctor@example.com,+1-727-571-1952x963,1948-08-27,Female,702 Bailey Estates Apt. 763,,Evansland,PR,41659,US,Enterprise,2022-08-21 00:40:51.538012,True,Bronze
CUS-AB7857615A8,Sabrina,Oliver,cheryl54@example.com,+1-863-545-4434x41491,1992-12-20,Male,449 Mitchell Ports,,Natalieview,AK,69421,US,Consumer,2024-08-08 05:27:48.248107,True,Bronze
CUS-97213BD0EBF,Mary,Lyons,dustinwilliams@example.com,362.297.3988x94132,2008-05-22,Non-Binary,02170 Murphy Walk Suite 346,,Matthewshire,DC,16971,US,Consumer,2025-04-29 20:40:32.388128,True,Gold
CUS-E61973F433D,Alejandro,Turner,ycharles@example.org,(493)390-0251,1958-05-22,Male,6589 Lee Prairie Suite 708,,Arellanoland,OK,80387,US,Small Business,2021-09-20 11:19:46.047652,True,Silver
CUS-EB1C4DAB7C0,Casey,Mccarthy,jaime56@example.com,611.438.8503,1957-07-14,Non-Binary,20334 Carter Greens Suite 310,Suite 379,Gordonfurt,WY,71315,US,Small Business,2022-08-17 00:45:07.769762,True,Gold
CUS-91F0FD15F51,Antonio,Moody,jennifer29@example.com,(690)521-7741x7430,1998-07-19,Prefer Not to Say,38502 Lisa Ridge,,Robertmouth,HI,59280,US,Small Business,2025-09-08 12:04:50.807266,True,Gold
CUS-FC800B49B73,Jessica,Molina,jamesanderson@example.org,+1-230-520-2569x133,1946-12-01,Male,6771 Ellen Meadow,Suite 507,Thomasfort,RI,80449,US,Consumer,2025-04-16 05:42:56.109902,True,Gold
