EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,HIRE_DATE,DEPARTMENT,JOB_TITLE,MANAGER_ID,WAREHOUSE_ID,SALARY,IS_ACTIVE
EMP-00001,Miguel,Jones,robertsaunders@bird-garcia.net,001-424-719-5625,2026-03-26,Marketing,Race relations officer,,WH-0020,93447.7,True
EMP-00002,Carlos,Smith,oreyes@hall.com,2914436391,2020-03-30,Finance,Housing manager/officer,EMP-00001,WH-0009,123857.64,True
EMP-00003,James,Bennett,youngjessica@stevenson-murphy.com,508-864-0355x33803,2021-09-14,Operations,"Education officer, museum",EMP-00002,WH-0001,67526.48,True
EMP-00004,Scott,Smith,mjones@walters.com,(812)998-3381,2019-08-15,Customer Service,"Engineer, civil (consulting)",EMP-00003,WH-0016,134504.97,True
EMP-00005,John,Thompson,kevinray@harris.com,(862)377-6896x2706,2024-01-22,Logistics,Hydrologist,EMP-00003,WH-0011,98470.5,True
EMP-00006,Brooke,Hernandez,jonathanford@campbell-hart.info,752-973-2300,2020-07-17,Logistics,Pathologist,EMP-00003,WH-0007,147789.08,True
EMP-00007,Shelby,Waller,patrick49@ortiz.com,(592)536-4587x5066,2021-04-08,Logistics,Medical illustrator,EMP-00002,WH-0014,40019.44,True
EMP-00008,Crystal,Rhodes,josegibson@hernandez.com,8114669183,2024-10-05,IT,Forensic psychologist,EMP-00007,WH-0013,79399.06,True
EMP-00009,Heather,Mason,uwillis@goodwin-glass.com,495-924-3640,2016-07-18,Finance,Building control surveyor,EMP-00003,WH-0016,145954.81,True
EMP-00010,Kim,Butler,upena@jackson-brooks.com,572.281.7932,2023-12-20,Customer Service,"Engineer, agricultural",EMP-00006,WH-0004,135531.89,True
EMP-00011,Jordan,Barrera,nalexander@oneill.com,216-214-1509x3771,2019-03-04,Customer Service,Actor,EMP-00008,WH-0001,118081.04,True
EMP-00012,Elizabeth,Mccormick,davisalexa@bennett.com,275.796.5555x3566,2025-03-11,IT,Chiropodist,EMP-00003,WH-0003,88991.42,True
EMP-00013,Aaron,Harrell,ihardy@guzman.com,001-735-279-7863x050,2026-02-23,Operations,"Journalist, magazine",EMP-00010,WH-0013,109731.22,True
EMP-00014,Erica,Hall,nross@bailey.com,001-664-993-2898x0271,2018-03-13,Finance,Product designer,EMP-00011,WH-0018,78701.08,True
EMP-00015,Stephanie,Olson,johnjackson@graves.com,(956)343-4712,2024-06-03,IT,Learning mentor,EMP-00013,WH-0016,135324.05,False
EMP-00016,Monica,Huynh,schneidernicholas@paul.net,(733)441-4111x59319,2024-12-29,Sales,Museum/gallery conservator,EMP-00004,WH-0010,149703.98,True
EMP-00017,Barbara,Smith,lawrencejames@whitney-flores.com,+1-528-999-3160x87524,2023-04-11,Logistics,Data processing manager,EMP-00004,WH-0004,86023.03,True
EMP-00018,Carolyn,Thomas,georgekyle@martinez.info,+1-837-646-0523x3027,2026-04-18,Sales,"Designer, jewellery",EMP-00002,WH-0011,126556.5,True
EMP-00019,Vickie,Kelley,roberto75@myers-rose.com,438-961-2590x4729,2023-06-08,Operations,"Horticulturist, amenity",EMP-00014,WH-0005,63082.7,True
