SUPPLIER_ID,SUPPLIER_NAME,CONTACT_NAME,CONTACT_EMAIL,PHONE,ADDRESS,CITY,STATE,COUNTRY,POSTAL_CODE,PAYMENT_TERMS,LEAD_TIME_DAYS,RATING,IS_ACTIVE
SUP-06E8F4C3A9F,"Rodriguez, Figueroa and Sanchez",Brian Yang,garzaanthony@robinson.org,2834863794,4235 Christopher Court Suite 594,Lake Stephenville,MS,US,10829,Net 30,4,4.2,True
SUP-2A33B87FB9D,"Carter, Fuller and Mcclure",Corey Jones,kendragalloway@delacruz.com,452.955.3419x283,8350 Lydia Valley Suite 641,New Nancy,MD,US,28370,Net 60,9,4.0,True
SUP-BF95D07074B,"Porter, Wilkerson and Day",Charles Mcgee,julie69@cox-osborn.com,671.201.2269x16697,845 Kelly Estate,Smithview,NY,US,23917,Net 30,40,3.3,False
SUP-B577E9D6CD7,"Gaines, Harrell and Evans",Lisa Hernandez,amberosborne@sellers.com,(443)903-9117x182,8963 Jennifer Locks,Samuelhaven,NV,US,16361,Net 60,17,3.5,False
SUP-305A80CA3C6,Walker LLC,Julian Chapman,jonescrystal@jones.com,983-547-3829,3116 Henderson Mountain Apt. 106,Laurenville,IA,US,25613,Net 60,44,4.1,True
SUP-5064F30F1ED,Herrera and Sons,Donald Wright,ramosmichelle@garcia.com,432-867-7360,4746 Moore Hill,North Beth,ND,US,08490,COD,40,2.8,True
SUP-73FCD543AB0,"Edwards, Williams and Woods",Kim Brown,yorkcasey@leonard.biz,793-699-0916,534 Anderson Rue,Stephenland,AL,US,60569,Net 60,30,3.0,True
SUP-E62A0DD4B90,"Murillo, Ferrell and Jones",Derek Mahoney,suarezmike@kim.com,+1-680-684-1241x182,534 King Vista,North Cynthiaview,AZ,US,00965,Net 90,9,2.3,True
SUP-5C82DF55CC0,Wise-Walsh,Patrick Arnold,hhoffman@landry.com,+1-605-798-2620,3315 Dickson Summit,East Michelle,AS,US,23707,Net 90,41,2.8,False
SUP-0E61F335D23,Johnson-Doyle,Timothy Pham,josephcobb@reyes.info,837.754.3303,45868 Crosby Crescent Suite 294,North Candacestad,VA,US,41615,COD,37,2.4,True
SUP-958D5AAE392,Obrien-Dixon,Kenneth Scott,zsmith@mcdaniel.com,(861)659-5148x465,66299 Sullivan Village,West Justinchester,WY,US,76520,Net 30,38,2.9,True
SUP-97F61CFA04A,"Pena, Marshall and Ramos",John Santana,donnacampbell@schultz.com,+1-543-832-0037x91769,3201 Robinson Unions Suite 083,South Dennismouth,TN,US,70117,Net 90,39,2.6,True
SUP-C15DF54A60E,"Larson, Dodson and Vance",Michelle Wagner,vmerritt@cole-walton.com,001-487-434-7143x45581,2316 Rivera Mountain,Brownchester,MS,US,77057,Net 60,21,5.0,True
SUP-C97316F6A26,"Smith, Gilmore and Johnston",Tommy Evans,acastaneda@adkins.com,234.867.0656x2729,62720 Gray Forest,Murphyfurt,KY,US,99068,Net 30,27,2.8,True
SUP-7A4AA93387F,King-Miller,Joshua Cooke,jeffrey10@herring.com,+1-323-427-1937x452,90496 David Flat Apt. 931,Melissaville,WY,US,74678,Net 90,13,3.1,True
SUP-5F54EA51FAA,Reed Group,Andrea Holland,atkinsonlynn@hamilton.info,001-626-728-4987x769,47379 Rogers Park,Hunterborough,MI,US,34363,Net 90,44,2.2,True
SUP-81D65FC6023,Ramirez-Carlson,Kristi Black,christophercortez@peters-allen.info,+1-777-801-4363x4957,7444 David Fields Suite 182,East Joanna,KY,US,95473,Net 60,13,3.4,True
SUP-40CC3A7B47B,"Bray, Warren and Campbell",Cory Perez,kevinerickson@hill.net,627-910-9477x7520,67190 Edward Port,Christopherbury,DE,US,73648,Net 60,23,4.5,True
